N_N, Type_Host,Type_Loc,Type_Dir_cluster,Type_Dir,Type_NS,P_of_Sp,P_of_Sp_cluster,Host_Lemma,Host_Trans,
318,location_pp_gravitational,unclear,motion towards (lat__term),lat,,adj<DEM,adj ,гьессуб<гье,верхний_ потусторонний,
319,bodypart,,,,manner__эталон сравнения?,n,n,га́ру,шея,
320,container,in_container,,lat,,n,n,устур,стол,
321,container,in_container,,lat,,,,unclear,,
322,container,in_container,,lat,,n,n,чанта́,карман_ сума,
323,location_pp_gravitational,,unclear,unclear,,adj<DEM,adj ,гьессуб<гье,верхний_ потусторонний,
324,location_pp_antropo,,,lat,target of sense perception,adv,adv,бесхъе,"позади; сзади_ потом",
325,location_pp_antropo,,,lat,target of sense perception,adv,adv,бесхъе,"позади; сзади_ потом",
326,building,in_room,motion towards (lat__term),lat,,adv<?,adv,иши,нареч. в значении в доме,
327,natural element(стихия),inter,motion towards (lat__term),lat,,n,n,цІай,огонь,
328,abstract,,,source,,adv,adv,бесхъе,"позади; сзади_ потом",
329,building,near,motion towards (lat__term),lat,manner_redupl,adv<?,adv,иши,нареч. в значении в доме,
330,building,in_room,motion towards (lat__term),lat,,adv<?,adv,иши,нареч. в значении в доме,
331,location_pp_antropo,,motion towards (lat__term),lat,,pp_adv,pp_adv,бесхъе,"позади; сзади_ потом",
332,natural element(стихия),inter,motion towards (lat__term),lat,,n,n,цІай,огонь,
333,building,in_room,motion towards (lat__term),lat,,adv<?,adv,иши,нареч. в значении в доме,
334,location_pp_antropo,,motion towards (lat__term),lat,,adv,adv,бесхъе,"позади; сзади_ потом",
335,location_pp_antropo,,,lat,,pp_adv,pp_adv,бесхъе,"позади; сзади_ потом",
336,,,,,,,,unclear,,
337,building,in_room,motion towards (lat__term),lat,,adv<?,adv,иши,нареч. в значении в доме,
338,building,near,motion towards (lat__term),lat,,adv<?,adv,иши,нареч. в значении в доме,
339,location_pp_antropo,,motion towards (lat__term),lat,,pp_adv,pp_adv,бесхъе,"позади; сзади_ потом",
340,location_pp_antropo,,,lat,target of sense perception,pp_adv,pp_adv,бесхъе,"позади; сзади_ потом",
341,location_pp_antropo,,,lat,,pp_adv,pp_adv,бесхъе,"позади; сзади_ потом",
342,location_pp_antropo,,,lat,,pp_adv,pp_adv,бесхъе,"позади; сзади_ потом",
343,location_pp_antropo,,,lat,,pp_adv,pp_adv,бесхъе,"позади; сзади_ потом",
344,location_pp_antropo,,,lat,,pp_adv,pp_adv,бесхъе,"позади; сзади_ потом",
345,location_pp_antropo,,,lat,,pp_adv,pp_adv,бесхъе,"позади; сзади_ потом",
346,location_pp_antropo,,,lat,,pp_adv,pp_adv,бесхъе,"позади; сзади_ потом",
347,location_pp_antropo,,,lat,,pp_adv,pp_adv,бесхъе,"позади; сзади_ потом",
348,location_pp_antropo,,,lat,,pp_adv,pp_adv,бесхъе,"позади; сзади_ потом",
349,location_pp_antropo,,motion towards (lat__term),lat,,pp_adv,pp_adv,бесхъе,"позади; сзади_ потом",
350,building,near,motion towards (lat__term),lat,,adv<?,adv,иши,нареч. в значении в доме,
351,building,in_room,motion towards (lat__term),lat,,adv<?,adv,иши,нареч. в значении в доме,
352,building,in_room,motion towards (lat__term),lat,,adv<?,adv,иши,нареч. в значении в доме,
353,building,in_room,motion towards (lat__term),lat,,adv<?,adv,иши,нареч. в значении в доме,
354,location_pp_antropo,,motion towards (lat__term),lat,,pp_adv,pp_adv,бесхъе,"позади; сзади_ потом",
355,building,in_room,motion towards (lat__term),lat,,adv<?,adv,иши,нареч. в значении в доме,
356,location_pp_antropo,,,lat,,pp_adv,pp_adv,бесхъе,"позади; сзади_ потом",
357,building,in_room,motion towards (lat__term),lat,,adv<?,adv,иши,нареч. в значении в доме,
358,building,in_room,motion towards (lat__term),lat,,adv<?,adv,иши,нареч. в значении в доме,
359,location_pp_antropo,,motion towards (lat__term),lat,,adv,adv,бесхъе,"позади; сзади_ потом",
360,location_pp_antropo,,motion towards (lat__term),lat,,adv,adv,бесхъе,"позади; сзади_ потом",
361,location_pp_antropo,in_inside.location,motion towards (lat__term),lat,,adv,adv,бесхъе,"позади; сзади_ потом",
362,building,in_room,motion towards (lat__term),lat,attr,adv<?,adv,иши,нареч. в значении в доме,
363,location_unclear,under (LOC),absence of movement,ess,,unclear,unclear,>михъи,на солнце,
364,building,in_room,motion towards (lat__term),lat,,adv<?,adv,иши,нареч. в значении в доме,
365,location_pp_antropo,,,lat,,pp_adv,pp_adv,бесхъе,"позади; сзади_ потом",
366,location_pp_antropo,,,,unclear,pp_adv,pp_adv,бесхъе,"позади; сзади_ потом",
367,location_pp_antropo,,,lat,target of sense perception,adv,adv,бесхъе,"позади; сзади_ потом",
368,location_pp_antropo,,,lat,target of sense perception,adv,adv,бесхъе,"позади; сзади_ потом",
369,location_pp_antropo,,,lat,,pp_adv,pp_adv,бесхъе,"позади; сзади_ потом",
370,building,near,motion towards (lat__term),lat,,adv<?,adv,иши,нареч. в значении в доме,
371,bodily_location,near_contact,absence of movement,ess,,adv<n_LAT,adv,ми́къа,на голове_ на голову,
372,building_room,in_room,motion towards (lat__term),lat,,n,n,гьанкъу,дом_ комната,
373,bodily_location,near_contact,motion towards (lat__term),lat,,adv<n_LAT,adv,ми́къа,на голове_ на голову,
374,bodily_location,3D_contact,motion towards (lat__term),lat,,adv<n_LAT,adv,ми́къа,на голове_ на голову,
375,bodily_location,in_abstract.container,,lat,,adv<n_LAT,adv,ми́къа,на голове_ на голову,
376,bodily_location,in_abstract.container,,ess,,adv<n_LAT,adv,ми́къа,на голове_ на голову,
377,bodily_location,in_abstract.container,,lat,,adv<n_LAT,adv,ми́къа,на голове_ на голову,
378,bodily_location,near_contact,motion towards (lat__term),lat,,adv<n_LAT,adv,ми́къа,на голове_ на голову,
379,bodily_location,in_abstract.container,,lat,,adv<n_LAT,adv,ми́къа,на голове_ на голову,
380,bodily_location,in_abstract.container,,lat,,adv<n_LAT,adv,ми́къа,на голове_ на голову,
381,bodily_location,in_abstract.container,,lat,,adv<n_LAT,adv,ми́къа,на голове_ на голову,
382,bodily_location,,,,,adv<n_LAT,adv,ми́къа,на голове_ на голову,
383,human,,,,stimulus,n,n,вочIу-дедушка>ро́чIухалухи,взрослых,
384,human_pro,in_personal.space (PRO),motion towards (lat__term),lat,,pro,pro,и́щи,мы,
385,geo,on,motion towards (lat__term),lat,,n,n,гьарчIчIа,площадь_ поляна,
386,human_pro,in_personal.space (PRO),motion towards (lat__term),lat,,pro,pro,би́шди,вы,
387,human,LOC (like russian),,lat,purpose?,n_GEN__OBL,n_OBL,цІцІе>цІцІеруб,гость_ гостья,
388,human,LOC (like russian),,lat,purpose?,n_GEN__OBL,n_OBL,цІцІе>цІцІеруб,гость_ гостья,
389,location_pp_antropo,POSS,,lat,POSS_lat,pp_adv,pp_adv,бессу́ха,назад,
390,abstract,,,prolat,manner,MSD,MSD,беххи́лар,длина,
391,abstract,,,prolat,manner,MSD,MSD,беххи́лар,длина,
392,geo,near,motion towards (lat__term),lat,,n,n,гьарчIчIа (гьарчІчІа́хи = на пол_ на землю),площадь_ поляна,
393,geo,near,motion towards (lat__term),lat,,n,n,гьарчIчIа (гьарчІчІа́хи = на пол_ на землю),площадь_ поляна,
394,geo,near,motion towards (lat__term),lat,,n,n,гьарчIчIа (гьарчІчІа́хи = на пол_ на землю),площадь_ поляна,
395,location_pp_gravitational,,motion towards (lat__term),lat,,pp_adv<DEM,pp_adv,гьеъе́хи,наверху_ выше,
396,location_pp_gravitational,,motion towards (lat__term),lat,,pp_adv<DEM,pp_adv,гьеъе́хи,наверху_ выше,
397,building__institution,in_inside.location__POSS,motion towards (lat__term),lat,,n,n,тука́н,магазин,
398,location_pp_antropo,POSS,,lat,POSS_lat,pp_adv,pp_adv,бессу́ха,назад,
399,geo,on__near_contact,motion towards (lat__term),lat,,n,n,гьарчIчIа (гьарчІчІа́хи = на пол_ на землю),площадь_ поляна,
400,location_pp_antropo,in_inside.location,motion towards (lat__term),lat,,adv,adv,бессу́ха,назад,
401,location_pp_gravitational,,motion towards (lat__term),lat,,pp_adv<DEM,pp_adv,гьеъе́хи,наверху_ выше,
402,location_pp_gravitational,,motion towards (lat__term),lat,,pp_adv<DEM,pp_adv,гьеъе́хи,наверху_ выше,
403,location_pp_gravitational,,motion towards (lat__term),lat,,pp_adv<DEM,pp_adv,гьеъе́хи,наверху_ выше,
404,geo,near,motion towards (lat__term),lat,,n,n,гьарчIчIа (гьарчІчІа́хи = на пол_ на землю),площадь_ поляна,
405,geo,,,,unclear,n,n,гьарчIчIа,площадь_ поляна,
406,geo,near,motion towards (lat__term),lat,,n,n,гьарчIчIа (гьарчІчІа́хи = на пол_ на землю),площадь_ поляна,
407,human,,,,stimulus,n,n,нача́лникI,начальник,
408,edge_narrow.space,,prolative__prosecutive,prosecutive,,n,n,бекІу́н,угол,
409,location_pp_gravitational,,motion towards (lat__term),lat,,pp_adv<DEM,pp_adv,гьеа__гье>гьеъе́хи,наверху__на>наверху_ выше_ высоко,
410,institution,inter_abstract,,lat,unclear,n,n,му́ху,труд_ работа,
411,human,,,,info_addressee,n,n,ада́м,человек,
412,aggregate,in_container (DIS),,lat,transformation_result?,n,n,гуру́па,группа,
413,aggregate,,,lat,transformation_result?,n,n,гуру́па,группа,
414,unclear,,,,,unclear,unclear,unclear,?,
415,unclear,,,,,unclear,unclear,unclear,?,
416,location,,,,,n,n,гъи́жи,бок,
417,human,in_inside.location,,unclear ,unclear ,n,n,къватIи>къва́тIу,улица>выродок,
418,geo,in_inside location?,,unclear,unclear,n,n,къватIи>къва́тIу,улица>выродок,
419,geo,in_inside location?,,unclear,unclear,n,n,къватIи>къва́тIу,улица>выродок,
420,geo,in_inside location?,,unclear,unclear,n,n,къватIи>къва́тIу,улица>выродок,
421,human,,,,attr,n,n,къва́тIу,выродок,
422,location_pp_gravitational,,motion towards (lat__term),lat,,pp_adv<DEM,pp_adv,гьеа__гье>гьеъе́хи,наверху__на>наверху_ выше_ высоко,
423,location_pp_gravitational,,motion towards (lat__term),lat,,pp_adv<DEM,pp_adv,гьеа__гье>гьеъе́хи,наверху__на>наверху_ выше_ высоко,
424,location_pp_gravitational,,motion towards (lat__term),lat,,pp_adv<DEM,pp_adv,гьеъе́хи,наверху_ выше,
425,geo,near_contact,motion towards (lat__term),lat,,n,n,кьу́ди,скала,
426,geo,on__near_contact,motion towards (lat__term),lat,,n,n,кьу́ди,скала,
427,geo,near,motion towards (lat__term),lat,,n,n,гьарчIчIа (гьарчІчІа́хи = на пол_ на землю),площадь_ поляна,
428,human,LOC (like russian),,lat,purpose?,n_GEN__OBL,n_OBL,цІцІе>цІцІеруб,гость_ гостья,
429,bodypart,,,,standard of comparison (0),n_PL,n_PL,нуку>нукáбалъи ,колено>колени,
430,wh,,,,,wh,wh,эбху́ла,что,
431,wh,,,,,wh,wh,эбху́ла,что,
432,wh,,,,,wh,wh,эбху́ла,что,
433,geo,on,motion towards (lat__term),lat,,n,n,гьарчIчIа (гьарчІчІа́хи = на пол_ на землю),площадь_ поляна,
434,geo_item,,,lat,transformation_result__standard of comparison (0),n,n,ру́ша,дерево,
435,abstract,,,,manner,n,n,сура́бир,строгость,
436,human,near,motion towards (lat__term),lat,,n,n,ма́духал,сосед,
437,abstract_status,,,lat,unclear,n,n,му́ху,труд_ работа,
438,abstract_state,inter_abstract,,ess,manner,n,n,ххва́нй,экстаз,
439,institution,,,lat,unclear,n,n,му́ху,труд_ работа,
440,container,in_container (DIS),,ess__prosecutive,,n_PL,n_PL,чанта́>чантабальи,карман_ сума,
441,abstract,,,,manner,MSD<v<adj,MSD,хьваъабир,доброта,
442,human,POSS,,lat,manner_redupl,num_PL,num_PL,цеб>цел,одни,
443,human,LOC (like russian),,lat,purpose?,n_GEN__OBL,n_OBL,цІцІе>цІцІеруб,гость_ гостья,
444,human,LOC (like russian),,lat,purpose?,n_GEN__OBL,n_OBL,цІцІе>цІцІеруб,гость_ гостья,
445,abstract,,,,manner,MSD,MSD,цIцIогьо́рир,воровство_ кража,
446,human_pro,in_personal.space (PRO),motion towards (lat__term),lat,,pro,pro,и́щи,мы,
447,abstract,,,,manner,MSD,MSD,чIиква́рир,"краса_ красота_ изящество; украшение",
448,human_pro,near,motion towards (lat__term),lat,,pro_GEN__OBL,pro_OBL,гощуб,он (р.п.),
449,human,in_personal.space (PRO),motion towards (lat__term),lat,,n,n,гьуду́л,друг,
450,human,in_personal.space (PRO),motion towards (lat__term),lat,,n,n,то́хтур,доктор,
451,institution,,,lat,unclear,n,n,му́ху,труд_ работа,
452,institution,,,lat,unclear,n,n,му́ху,труд_ работа,
453,human_pro,in_personal.space (PRO),motion towards (lat__term),lat,,pro,pro,и́щи,мы,
454,unclear,,,,,unclear,unclear,unclear,?,
